authorId,name
1,H Everett
2,DL Lukes
3,DL Russell
4,PJ Black
5,P Davies
6,JM Ogborn
7,JE ROBERT
8,AS Holevo
9,Gyorgy Hexner
10,Max Mintz
11,CW Helstrom
12,A Ichikawa
13,A Bagchi
14,Z Doraotor
15,TW Marshall
16,G Sauer
17,MP Moklyachuk
18,Arthur Fine
19,Gerhard Grossing
20,A Zeilinger
21,O Costa de Beauregard
22,Richard W Miller
23,D Charnas
24,Richard H Schlagel
25,Louis Marinoff
26,Michel Y Farhat
27,MingFong Chen
28,Tahira Bhatti
29,Azhar Iqbal
30,Seedabarum Cathapermal
31,Peter W Ramwell
32,S Popescu
33,Teodor Havarneanu
34,S Massar
35,D Aerts
36,S Aerts
37,B Huttner
38,N Imoto
39,N Gisin
40,T Mor
41,D Brody
42,B Meister
43,C Dürr
44,H Lê Thanh
45,M Santha
46,A Fine
47,W van Dam
48,C Durr
49,P Kwiat
50,H Weinfurter
51,A Zeilinge
52,DA Meyer
53,CA Fuchs
54,RB Griffiths
55,CS Niu
56,A Peres
57,SP Yung
58,H LêThanh
59,VS Mashkevich
60,SH Wu
61,VW Soo
62,L Goldenberg
63,L Vaidman
64,S Wiesner
65,D Mayers
66,L Salvail
67,Y Chiba-Kohno
68,J Finkelstein
69,D Deutsch
70,J Eisert
71,M Wilkens
72,M Lewenstein
73,DP DiVincenzo
74,D Loss
75,L Hardy
76,A Kent
77,I Peterson
78,YS Zhang
79,CF Li
80,GC Guo
81,KF Gauss
82,JH Poincaré
83,WL Li
84,YF Huang
85,SJ Van Enk
86,L Lambertini
87,A Boukas
88,M Zak
89,RE Meyers
90,KS Deacon
91,D Aharonov
92,A Ta-Shma
93,UV Vazirani
94,AC Yao
95,H Barnum
96,CM Caves
97,L Marinatto
98,T Weber
99,NF Johnson
100,J Du
101,X Xu
102,H Li
103,X Zhou
104,R Han
105,M Shi
106,XB Wang
107,LC Kwek
108,CH Oh
109,GUOG Can
110,DA Carlson
111,YH Kang
112,JM Jeong
113,JY Park
114,A Iqbal
115,AH Toor
116,G Segre
117,SC Benjamin
118,PM Hayden
119,AP Flitney
120,D Abbott
121,EW Piotrowski
122,J Sladkowski
123,A Nawaz
124,R Kay
125,M Fitzi
126,U Maurer
127,WY Hwang
128,D Ahn
129,SW Hwang
130,E Klarreich
131,PCW DAVIES
132,CR SHALIZI
133,A Goff
134,ML Stohler
135,WF Lawless
136,YJ HAN
137,YS ZHANG
138,GCAN GU
139,T KAWAKAMI
140,WL Ang
141,DA MEYER
142,H BLUMER
143,V Galliard
144,S Wolf
145,GM D'ariano
146,RD Gill
147,M Keyl
148,B Kuemmerer
149,CF Lee
150,N Johnson
151,J Wu
152,YJ Han
153,R Pike
154,H Blumer
155,JL Chen
156,M Lassig
157,C Döscher
158,CL Chou
159,LY Hsu
160,RV Mendes
161,YJ Ma
162,GL Long
163,FG Deng
164,F Li
165,SX Zhang
166,FMC Witte
167,A Pietarinen
168,DU Jiang-Feng
169,L Hui
170,X Xiao-Dong
171,Z Xian-Yi
172,V Selman
173,M Schwartz
174,J Ng
175,RW Spekkens
176,T Rudolph
177,A Grib
178,G Parfionov
179,D Wallace
180,KY Chen
181,T Hogg
182,R Beausoleil
183,XF Liu
184,CP Sun
185,SV Ulyanov
186,K Takahashi
187,LV Litvintseva
188,A Tapp
189,PJ Lewis
190,E Jiménez
191,A Nayak
192,P Shor
193,B Chen
194,J Syska
195,F Guinea
196,MA Martin-Delgado
197,TA Brun
198,HA Carteret
199,A Ambainis
200,MK Ghosh
201,AK Nandakumaran
202,KS Mallikarjuna Rao
203,M Stohler
204,E Fischbach
205,C Schuck
206,C Ju
207,L Zhang
208,AA Grib
209,AY Khrennikov
210,K Starkov
211,P La Mura
212,L Zhou
213,LM Kuang
214,LK Chen
215,H Ang
216,D Kiang
217,CF Lo
218,S Gravier
219,P Jorrand
220,M Mhalla
221,C Payan
222,SK Ozdemir
223,J Shimamura
224,F Morikoshi
225,ŞK ÖZDEMIR
226,T Cheon
227,BA Huberman
228,SS Ulyanov
229,HJ Zhao
230,XM Fang
231,R Renner
232,WF LAWLESS
233,JM Grayson
234,AFH Rosero
235,BS Montin
236,D Lehmann
237,J Siegel
238,SE Landsburg
239,AL Broadbent
240,D Fulton
241,A Blum
242,R Griffiths
243,J Rashid
244,ŞK Özdemir
245,GV Klimovitch
246,S Weigert
247,R Cleve
248,P Hoyer
249,B Toner
250,J Watrous
251,H Buhrman
252,Y Dodis
253,H Rohrig
254,Q Chen
255,Y Wang
256,JT Liu
257,KL Wang
258,S Pirandola
259,G Cheng
260,Z Hai-Jun
261,F Xi-Ming
262,JJF Neto
263,G Brassard
264,A Broadbent
265,M Boyer
266,V Kargin
267,J Lu
268,C Mochon
269,A Muthukrishnan
270,M Jones
271,MO Scully
272,MS Zubairy
273,V Vovk
274,PCW Davies
275,J Sun
276,W Xu
277,B Feng
278,G Gutoski
279,GN Parfionov
280,DK Levine
281,GB Dahl
282,L ZHANG
283,GJ ZHANG
284,S ZHOU
285,X HU
286,P Gawron
287,JA MISZCZAK
288,B Do
289,S Balasubramanian
290,DS Elliott
291,E Jimenez
292,D Moya
293,I Pakuła
294,C Xi
295,Q Gan
296,D Jiang-Feng
297,G Qin
298,X Chen
299,M Sun
300,J Zhou
301,L Ma
302,Y Li
303,M Ben-Or
304,A Hassidim
305,C Marriott
306,JO Grabbe
307,JS Brooks
308,S Mancini
309,L Maccone
310,B Arfi
311,M Paternostro
312,MS Tame
313,MS Kim
314,M Makowski
315,DP Chi
316,K Jeong
317,C Shuai
318,F Mao-Fa
319,JR Busemeyer
320,M Matthews
321,Z Wang
322,T Ichikawa
323,EG Hidalgo
324,Z Hong
325,E Haven
326,LZW Xiaolong
327,Z Jie
328,A Wendt
329,S. Guzzini
330,A. Leander
331,I Tsutsui
332,A Cabello
333,L Mou
334,J Yong
335,I Pakula
336,M Macucci
337,AN Al-Rabadi
338,S Ricketts
339,E Guevara
340,A David
341,J Hasegawa
342,Y Kikuchi
343,Y Sasaki
344,E Ahmed
345,MF Elettreby
346,AS Hegazi
347,A Brandenburger
348,A Khrennikov
349,JT Townsend
350,D Meyer
351,G Abal
352,R Donangelo
353,H Fort
354,K Miakisz
355,M Schroeder
356,A Zambrzycka
357,S Abeyratne
358,PBM de Sousa
359,RV Ramos
360,JH Kim
361,RG Beausoleil
362,K Chen
363,LI Zhang
364,WJ Munro
365,J Faber
366,R Portugal
367,LP Rosa
368,IM Buluta
369,S Fujiwara
370,S Hasegawa
371,C Chen
372,D Dong
373,Q Shi
374,Y Dong
375,R Aggarwal
376,ZA Taqvi
377,XIAMYE Chun-ming
378,WU Yong
379,FP Vos
380,PJ Vos
381,CP Gon
382,C Gon
383,N Patel
384,SK Özdemir
385,AD Greentree
386,J Hruby
387,Z Xiao-Juan
388,LCL Hollenberg
389,S Bhattacharya
390,K Kumar
391,CP Gonçalves
392,C Gonçalves
393,I PAKUŁA
394,KN Sgarbas
395,R Prevedel
396,A Stefanov
397,P Walther
398,N Aharon
399,S Machnes
400,B Reznik
401,J Silman
402,A Romanelli
403,PV Fellman
404,JV Post
405,X Zhu
406,A Tafliovich
407,ECR Hehner
408,M Hanauske
409,S Bernius
410,W Köenig
411,B Dugall
412,VJ Goldman
413,A Mitra
414,K Sivapriya
415,A Kumar
416,M Bergman
417,J Louçã
418,NN Kriegel
419,N Feltovich
420,J Košík
421,JA Miszczak
422,V Bužek
423,E Guevara Hidalgo
424,M Pawlowski
425,W Xia
426,Y Xiao-Hua
427,M Lin
428,Z Xiang
429,H Cheng-Zheng
430,N Kobayashi
431,R Franco
