aPaperId,bPaperId
6,4
10,7
18,15
20,15
25,7
28,7
28,5
28,25
31,29
32,16
34,16
35,7
37,32
42,41
45,38
46,38
46,45
46,41
50,38
50,53
52,45
52,38
52,41
53,38
57,47
57,42
58,44
59,45
60,45
60,38
62,38
62,60
63,45
63,38
64,38
64,48
64,44
64,62
64,59
65,38
65,45
65,41
67,48
67,38
70,38
70,45
70,67
70,59
71,38
71,45
72,45
72,38
72,41
72,52
73,38
73,48
73,59
73,71
74,7
74,45
75,59
75,71
75,73
75,45
75,48
75,38
76,38
76,45
76,48
76,59
76,71
76,73
76,75
77,59
77,71
77,73
77,75
78,71
78,73
78,75
78,76
78,77
78,59
79,45
80,45
80,59
80,77
81,44
81,38
81,48
81,63
81,79
81,60
82,38
82,41
82,45
82,81
82,59
82,79
83,54
83,45
83,38
83,75
84,45
84,67
84,41
84,63
85,59
86,45
86,38
86,79
86,59
86,123
86,67
88,5
88,41
88,42
89,38
89,45
89,79
89,81
90,38
90,50
90,45
90,79
91,45
91,38
91,127
91,89
91,106
93,63
93,90
93,121
93,109
93,155
93,41
93,88
93,81
93,45
93,118
93,392
93,86
93,73
93,78
93,102
93,59
93,70
93,64
93,38
93,126
93,67
93,80
93,85
93,65
93,123
94,266
94,129
96,123
96,45
98,106
98,131
98,38
98,34
100,38
100,45
100,59
100,73
101,45
101,63
101,82
102,38
102,45
102,79
102,73
102,70
102,112
102,67
102,86
102,90
102,106
102,131
103,44
103,45
103,38
103,41
103,79
103,67
103,73
103,126
103,163
104,45
104,81
105,45
105,63
105,81
106,34
106,38
106,81
107,42
107,38
107,45
107,41
107,65
107,67
108,38
108,45
108,59
108,62
108,70
108,79
108,81
108,71
108,73
108,100
108,76
108,121
108,109
109,54
109,45
109,121
109,75
109,59
111,42
112,38
112,41
112,45
112,81
112,59
112,79
112,103
112,62
112,123
112,131
112,73
112,67
113,25
114,38
114,45
114,127
114,103
114,81
114,73
114,82
114,67
114,102
114,86
115,38
115,45
115,81
115,63
115,59
115,103
115,75
115,113
115,111
115,114
115,64
115,163
116,38
116,45
117,83
117,121
117,154
117,45
117,38
117,81
117,79
117,63
117,103
117,126
117,84
117,118
117,59
117,62
117,78
117,72
117,82
117,101
117,75
117,76
117,64
117,86
117,100
117,80
117,108
117,67
117,156
117,234
118,45
118,108
118,59
119,45
119,63
119,81
119,100
119,103
119,59
119,71
120,38
120,45
120,59
120,103
120,73
120,100
120,109
120,241
121,38
121,44
122,44
123,41
123,38
123,45
123,59
123,67
123,392
123,81
123,103
123,84
123,90
125,38
125,45
125,79
125,81
125,63
125,131
125,103
125,84
125,59
125,73
125,135
126,38
126,45
126,90
126,84
126,59
126,392
126,103
126,67
126,81
126,79
126,45
126,63
129,266
130,79
130,81
130,103
130,63
130,45
130,112
130,108
130,67
130,127
130,25
130,38
131,38
131,45
131,63
131,81
131,103
131,126
131,392
131,59
131,62
131,70
131,72
131,112
131,75
131,76
131,123
131,81
131,86
131,73
131,78
131,108
131,67
131,106
133,198
134,45
134,59
135,38
135,45
135,63
135,79
135,81
135,392
135,75
135,73
135,109
135,121
135,103
135,84
135,59
135,62
135,70
135,72
135,112
135,101
135,106
135,131
135,98
136,44
137,38
137,45
137,63
137,126
137,103
137,81
138,38
138,45
138,41
138,103
138,141
139,38
139,45
140,38
140,45
140,81
140,103
140,59
140,67
140,75
140,112
140,108
140,103
140,84
141,38
141,45
141,103
141,81
141,392
141,112
141,124
141,183
141,86
144,44
145,63
145,45
145,103
145,38
145,90
146,45
148,106
148,38
148,34
148,98
149,38
149,103
149,45
149,63
149,126
149,81
150,38
150,42
151,89
151,38
151,90
151,45
151,84
151,59
151,392
151,103
151,67
151,81
151,131
151,101
151,79
151,63
151,126
152,45
152,63
152,81
152,100
152,103
152,59
152,73
152,138
153,45
153,63
153,81
153,100
153,103
153,59
153,73
153,138
154,45
154,38
154,59
154,392
154,75
154,80
154,108
154,83
154,109
154,121
154,155
155,54
155,45
155,38
155,121
156,38
156,45
156,89
156,90
156,86
157,45
157,38
157,63
157,79
157,81
157,59
157,392
157,67
157,131
157,121
157,103
157,117
157,124
157,72
157,112
157,101
158,101
158,103
158,70
158,45
158,112
158,131
158,41
158,134
158,88
158,38
158,83
158,109
158,121
159,83
159,109
159,121
159,155
159,89
159,59
159,392
159,75
159,80
159,108
160,34
160,106
161,38
161,117
161,83
161,109
161,121
161,155
161,154
161,392
162,38
162,45
162,117
162,121
163,45
163,59
163,81
163,103
163,38
163,174
163,126
163,63
163,79
165,38
165,59
165,45
165,65
165,63
166,59
166,45
166,63
166,79
166,103
166,117
166,126
166,104
166,118
166,392
166,85
167,38
167,45
167,103
167,84
167,126
167,81
167,67
167,59
167,75
167,108
167,112
168,81
168,75
168,103
168,45
168,63
168,86
168,38
168,105
169,38
169,45
169,392
169,121
169,155
169,135
169,103
169,59
169,151
169,112
169,101
169,85
169,62
169,70
169,118
169,165
169,181
169,108
169,157
169,114
169,161
169,54
169,75
169,73
169,80
169,87
169,162
169,44
169,136
169,134
169,235
169,109
169,41
169,52
169,88
171,45
171,181
171,38
171,205
172,45
172,103
172,126
172,38
172,81
172,119
172,100
173,38
173,45
173,81
173,392
173,67
173,112
173,86
173,103
173,107
173,105
173,79
174,79
174,81
174,84
174,163
174,63
174,45
174,117
174,112
174,392
174,59
174,38
175,63
175,158
175,169
176,45
176,62
176,63
176,112
176,38
176,105
176,103
176,67
176,81
176,131
176,108
176,114
177,45
177,63
177,103
177,38
177,90
178,38
178,45
178,81
178,140
178,167
179,45
179,38
179,112
181,105
181,45
181,38
181,103
181,81
181,141
182,38
182,45
182,81
182,140
183,38
183,45
183,103
183,81
183,112
183,124
183,67
183,25
184,45
184,63
184,38
184,41
184,80
184,158
184,235
184,117
184,74
184,192
184,103
184,151
184,114
184,123
184,112
184,125
184,157
184,131
184,101
184,64
184,81
184,67
184,104
184,59
184,84
184,126
184,96
185,45
185,239
185,38
185,103
185,81
185,123
185,86
185,140
185,79
185,63
185,117
189,44
189,45
189,129
189,132
190,45
190,132
191,38
191,45
191,81
191,140
192,163
192,103
192,63
192,45
192,170
192,105
192,167
192,141
192,140
192,138
192,152
192,38
195,45
195,38
195,608
197,38
197,45
197,59
197,79
197,108
197,127
201,38
201,81
201,86
202,45
202,62
202,63
202,38
202,103
202,67
202,81
202,131
202,108
202,114
204,38
204,45
204,63
204,59
204,392
204,75
204,112
204,81
204,86
204,126
204,215
204,103
204,117
204,67
204,174
205,45
205,38
205,105
207,41
208,38
208,41
208,45
208,81
208,63
208,79
208,112
208,140
208,167
209,45
209,38
209,105
209,103
209,67
209,81
209,108
209,114
210,45
210,167
210,165
210,140
210,81
210,105
210,205
211,45
213,81
213,38
213,98
213,89
213,234
213,124
213,135
213,86
214,239
214,38
214,45
214,103
214,81
214,163
214,123
214,117
214,140
215,124
215,38
215,45
215,63
215,81
215,79
215,59
215,392
215,67
215,131
215,121
215,103
215,117
215,72
215,112
216,90
216,62
216,70
216,59
216,85
216,45
216,114
219,81
