paperId,title
1,Utility of information game theoretic approach
2,A GLOBAL THEORY FOR LINEAR QUADRATIC DIFFERENTIAL GAMES
3,A quantum shuffling game for teaching statistical mechanics
4,A max-min differential game in Hilbert space
5,Statistical decision theory for quantum systems
6,A Hilbert-space approach to minimax state estimation for plants subject to a control energy constraint
7,Quantum detection and estimation theory
8,Linear quadratic differential games in a Hilbert space
9,Stochastic linear differential game with a square integrable martingale as noise
10,Optimum quantum decision between a pure and a mixed state with application to detection of TCS signals
11,CLASSICAL AND QUANTUM DECISION THEORY
12,The game of quandice
13,Playing the quantum shuffling game with programmable pocket calculators and microcomputers
14,On an antagonistic game and prediction of stationary random processes in a Hilbert space
15,The Shaky Game: Einstein and the Quantum Theory
16,Quantum cellular automata
17,On the zigzagging causality model of EPR correlations and on the interpretation of quantum mechanics
18,In Search of Einstein's Legacy: A Critical Notice of Arthur Fine; The Shaky Game: Einstein; Realism; and the Quantum Theory
19,Quantum Plans To Be Player in Performance Polyolefins Game
20,"Fine's"" Shaky Game""(And Why NOA Is No Ark for Science)"
21,Three pseudo-paradoxes in ‘quantum’decision theory: Apparent effects of observation on probability and utility
22,Protection by oestradiol against the development of cardiovascular changes associated with monocrotaline pulmonary hypertension in rats
23,Bell’s inequalities versus teleportation: What is nonlocality?
24,An approximation scheme for the solutions of the Hamilton-Jacobi equations with max-min Hamiltonians in Hilbert spaces
25,Optimal extraction of information from finite quantum ensembles
26,Applications of quantum statistics in psychological studies of decision processes
27,Quantum cryptography with coherent states
28,Minimum decision cost for quantum ensembles
29,A decision procedure for well-formed linear quantum cellular automata
30,The Shaky Game: Einstein
31,Quantum cellular automataVD
32,A decision procedure for unitary linear quantum cellular automata
33,Quantum seeing in the dark
34,From quantum cellular automata to quantum lattice gases
35,Optimal eavesdropping in quantum cryptography. I. Information bound and optimal strategy
36,Differential game with switching controls on Hilbert space
37,A decision procedure for well-formed linear quantum cellular automata
38,Quantum strategies
39,Indeterministic Quantum Gravity and Cosmology X. Probability-Theoretic Aspect: A Hidden Selector for Quantum Jumps; or How the Universe Plays the Game of Chance
40,Game theoretic reasoning in multi-agent coordination by negotiation with a trusted third party
41,Quantum gambling
42,Unconditionally secure quantum coin tossing
